               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.036182,           0.0055967,           0.0017938,             0.45578,               0.515,             0.44598,             0.26637,            0.032519,           0.0059566,           0.0013903,          2.1429e-05,          2.1429e-05,          2.1429e-05
                  89,            0.036907,           0.0056067,           0.0017094,               0.455,             0.52011,               0.445,             0.26448,            0.032517,           0.0059593,           0.0013753,          2.0525e-05,          2.0525e-05,          2.0525e-05
                  90,            0.036532,           0.0054906,           0.0019738,             0.45522,             0.51916,             0.44833,             0.26698,             0.03251,           0.0059585,           0.0013772,          1.9622e-05,          1.9622e-05,          1.9622e-05
                  91,            0.037493,           0.0056336,           0.0018387,             0.45398,             0.51916,             0.44711,             0.26679,            0.032506,           0.0059581,           0.0013837,          1.8719e-05,          1.8719e-05,          1.8719e-05
                  92,            0.036573,           0.0056071,           0.0017654,             0.45594,             0.51525,             0.44401,             0.26565,            0.032493,           0.0059547,           0.0013971,          1.7816e-05,          1.7816e-05,          1.7816e-05
                  93,            0.036832,           0.0057023,           0.0018459,             0.45799,             0.51307,             0.44878,             0.26712,            0.032482,           0.0059479,           0.0014048,          1.6913e-05,          1.6913e-05,          1.6913e-05
                  94,            0.036344,            0.005581,           0.0017292,             0.45065,              0.5123,             0.45277,             0.26785,            0.032485,           0.0059392,           0.0014121,           1.601e-05,           1.601e-05,           1.601e-05
                  95,            0.036213,             0.00556,           0.0018411,             0.46292,             0.51812,             0.45195,             0.26719,            0.032474,            0.005942,           0.0014062,          1.5107e-05,          1.5107e-05,          1.5107e-05
                  96,            0.036544,           0.0054833,           0.0018427,             0.45409,             0.51421,             0.44973,             0.26748,            0.032496,           0.0059475,           0.0014035,          1.4204e-05,          1.4204e-05,          1.4204e-05
                  97,            0.036303,           0.0056009,            0.001743,             0.45962,             0.51171,             0.45024,             0.26845,            0.032499,           0.0059407,           0.0013979,            1.33e-05,            1.33e-05,            1.33e-05
                  98,            0.036508,           0.0054737,           0.0015904,             0.45819,             0.51135,             0.45091,             0.26861,            0.032507,           0.0059365,           0.0013968,          1.2397e-05,          1.2397e-05,          1.2397e-05
                  99,            0.036695,           0.0055337,           0.0017725,             0.45678,             0.50744,             0.45243,             0.26922,            0.032482,           0.0059315,           0.0013992,          1.1494e-05,          1.1494e-05,          1.1494e-05
